id,order_num,user_id,created_at,updated_at
16523,3,44,07/08/2015 19:09:08,07/20/2015 21:51:36
18512,1,8545,04/09/2015 04:47:49,04/23/2015 22:08:04
21590,1,2316,07/08/2015 15:33:19,07/13/2015 13:10:28
35924,2,6414,07/03/2015 12:01:07,07/06/2015 07:48:06
31330,3,6088,07/07/2015 21:49:10,07/22/2015 08:29:26
13339,4,2889,07/07/2015 08:31:43,07/21/2015 23:10:49
25176,2,8988,06/17/2015 15:03:02,06/19/2015 09:58:47
1916,2,8497,07/09/2015 00:52:27,07/15/2015 09:56:16
35357,4,9296,07/08/2015 04:18:23,07/08/2015 15:52:03
20567,1,6447,05/21/2015 04:17:14,05/25/2015 00:07:32
65,1,4002,05/23/2015 13:22:21,05/31/2015 14:13:34
2754,4,308,07/04/2015 16:45:17,07/08/2015 09:06:59
38518,1,2494,05/29/2015 12:12:52,06/12/2015 14:39:12
36437,1,5294,01/28/2015 18:02:57,02/09/2015 21:00:10
1871,2,4953,07/02/2015 18:36:40,07/10/2015 05:38:43
1323,4,8355,06/11/2015 08:18:01,06/23/2015 08:56:07
22544,2,8143,06/24/2015 12:44:44,06/24/2015 18:19:35
35830,1,4190,06/30/2015 13:20:50,07/04/2015 22:30:48
13424,3,2986,06/08/2015 18:56:09,06/14/2015 09:10:29
10529,2,2173,06/21/2015 16:53:20,07/04/2015 16:52:56
5130,2,2600,04/23/2015 14:20:44,05/01/2015 22:26:44
26886,2,4106,06/01/2015 01:42:42,06/09/2015 22:48:46
25323,3,5803,06/11/2015 13:52:29,06/25/2015 20:20:03
28208,1,67,04/16/2015 05:23:38,04/29/2015 01:56:53
21870,1,8371,06/09/2015 06:09:17,06/18/2015 08:15:19
15689,1,6851,06/22/2015 12:12:53,06/26/2015 19:50:56
23250,7,8388,07/08/2015 20:46:00,07/17/2015 21:42:31
37068,1,1208,06/26/2015 10:43:39,07/02/2015 15:23:35
9907,4,2245,06/03/2015 08:25:13,06/13/2015 01:17:26
29131,6,6724,07/08/2015 12:05:09,07/15/2015 12:33:36
4889,5,8056,07/08/2015 22:27:05,07/10/2015 05:01:18
5387,2,9622,06/21/2015 13:59:35,07/01/2015 12:25:13
32273,3,7763,07/05/2015 18:57:46,07/15/2015 07:10:54
13591,2,1913,07/03/2015 10:20:14,07/17/2015 09:43:29
16749,2,2473,06/27/2015 14:30:11,06/27/2015 17:18:11
27535,5,37,07/08/2015 14:14:31,07/16/2015 12:44:03
29241,3,1908,06/28/2015 10:18:06,06/28/2015 21:27:11
22608,1,6030,06/02/2015 15:28:06,06/15/2015 15:02:33
17901,1,8406,01/07/2015 02:44:22,01/20/2015 13:47:11
13570,8,7721,07/08/2015 23:13:47,07/11/2015 11:31:43
27677,2,9892,06/26/2015 22:27:09,07/07/2015 11:00:44
34713,2,1690,06/30/2015 01:59:35,07/08/2015 06:31:25
39114,4,434,07/08/2015 22:31:03,07/16/2015 21:50:28
24676,2,273,02/28/2015 20:50:42,03/11/2015 23:45:01
25416,4,7050,07/08/2015 18:04:10,07/18/2015 00:02:51
37952,5,3955,07/01/2015 14:54:00,07/03/2015 23:42:09
37297,1,7435,02/17/2015 16:30:44,03/02/2015 10:36:34
16500,4,1619,07/07/2015 12:00:02,07/12/2015 10:35:03
27964,6,5766,07/08/2015 23:17:04,07/13/2015 01:43:39
35366,1,1456,06/01/2015 19:48:13,06/08/2015 06:27:16
30104,4,5796,06/08/2015 15:58:39,06/09/2015 03:03:09
36139,1,4075,07/05/2015 02:01:30,07/13/2015 01:27:02
21188,4,1157,06/29/2015 12:41:40,07/05/2015 11:11:05
4183,3,9346,06/20/2015 00:59:05,06/26/2015 02:20:11
19993,3,4397,07/05/2015 15:07:01,07/20/2015 00:02:38
6565,4,1848,06/21/2015 20:09:06,07/02/2015 09:21:09
27753,2,3526,04/22/2015 20:07:09,05/04/2015 04:27:08
3398,2,8526,06/23/2015 00:26:33,06/26/2015 14:15:53
34282,1,3238,06/27/2015 17:34:34,07/04/2015 22:55:49
35796,2,6500,06/09/2015 12:36:40,06/22/2015 12:32:31
4448,4,1197,07/08/2015 03:48:39,07/18/2015 18:13:43
28384,1,4953,05/20/2015 16:05:28,05/31/2015 06:46:54
25063,4,515,07/07/2015 17:09:39,07/13/2015 17:04:01
15515,4,1908,06/29/2015 00:18:48,07/13/2015 01:11:47
25976,1,7586,06/28/2015 07:54:44,07/04/2015 20:41:25
4178,3,3152,06/28/2015 06:22:26,06/29/2015 21:37:51
39257,4,5503,07/04/2015 23:14:37,07/11/2015 17:25:00
23577,1,7358,06/29/2015 10:18:33,07/11/2015 03:13:54
28705,4,4075,07/09/2015 00:31:43,07/15/2015 23:14:58
14778,4,1724,07/06/2015 20:41:41,07/18/2015 08:11:35
18508,3,8709,07/01/2015 01:06:50,07/10/2015 00:58:01
39184,1,967,04/07/2015 20:24:50,04/22/2015 09:22:39
9235,4,3481,06/03/2015 01:26:27,06/14/2015 21:25:08
6204,2,6662,06/27/2015 08:55:31,07/03/2015 09:39:42
26502,3,8121,03/08/2015 13:21:00,03/21/2015 13:13:35
17626,1,781,05/21/2015 08:14:30,05/26/2015 02:49:43
18627,2,7840,07/04/2015 18:07:21,07/17/2015 04:32:09
16214,4,5410,07/03/2015 14:11:02,07/05/2015 10:42:30
35471,2,2093,04/04/2015 21:24:02,04/13/2015 15:11:12
723,2,2781,05/23/2015 11:47:27,05/25/2015 17:49:34
36187,2,9922,05/02/2015 08:56:48,05/10/2015 04:51:31
6622,1,1019,04/10/2015 20:56:52,04/17/2015 21:31:24
1819,2,311,06/27/2015 19:38:46,07/01/2015 03:54:31
39169,3,1697,07/08/2015 20:21:50,07/11/2015 14:00:38
9517,5,5935,07/08/2015 04:12:51,07/10/2015 01:34:06
5854,6,635,07/09/2015 00:23:12,07/12/2015 22:01:11
33983,1,1200,07/01/2015 16:48:28,07/02/2015 04:15:29
24461,1,3281,06/12/2015 21:36:29,06/25/2015 08:54:38
31374,1,438,04/30/2015 03:39:30,05/14/2015 05:41:43
12321,5,2055,07/08/2015 17:44:12,07/13/2015 22:15:42
13899,2,165,07/06/2015 04:15:31,07/19/2015 03:30:20
16259,1,57,02/26/2015 09:02:39,02/28/2015 02:37:15
29518,1,3575,06/23/2015 18:31:50,06/25/2015 18:40:51
19762,4,6102,06/29/2015 12:49:33,07/04/2015 12:27:40
13168,5,1678,07/06/2015 18:58:44,07/09/2015 18:08:50
21096,1,4560,07/08/2015 13:28:59,07/23/2015 02:19:57
33921,3,4626,06/21/2015 14:56:06,07/04/2015 14:12:38
34470,2,6944,07/05/2015 01:47:31,07/11/2015 14:39:27
5766,4,4910,07/09/2015 00:54:40,07/19/2015 05:46:56
18160,3,912,07/08/2015 20:00:32,07/10/2015 16:51:31
26790,1,1048,03/09/2015 02:32:36,03/10/2015 17:49:58
4324,5,7811,07/01/2015 23:08:03,07/15/2015 00:11:46
8948,4,6789,07/06/2015 16:57:14,07/15/2015 14:02:16
6561,5,1545,07/08/2015 15:06:44,07/19/2015 21:16:37
29293,1,8103,07/05/2015 05:36:56,07/05/2015 15:46:54
14317,3,963,05/17/2015 07:44:10,05/21/2015 01:24:39
4485,1,7427,11/14/2014 08:53:29,11/17/2014 22:17:45
39006,7,6944,07/08/2015 22:52:56,07/09/2015 16:54:05
27275,3,4300,07/03/2015 13:57:41,07/04/2015 06:18:02
19555,6,7325,07/08/2015 14:29:39,07/20/2015 01:36:44
30653,2,4071,06/19/2015 23:25:39,06/28/2015 23:01:11
15611,1,5508,04/17/2015 17:24:32,04/24/2015 22:40:52
22748,7,7050,07/08/2015 23:08:12,07/17/2015 04:49:42
28982,1,8054,07/07/2015 10:29:52,07/17/2015 14:51:57
3197,2,4386,06/09/2015 05:51:22,06/18/2015 05:30:10
17608,4,9087,07/07/2015 06:55:19,07/22/2015 01:37:27
30741,6,3152,07/07/2015 23:15:15,07/13/2015 08:20:36
4353,2,7687,07/04/2015 10:55:59,07/10/2015 18:00:21
11,2,9879,02/26/2015 13:31:48,03/01/2015 06:43:51
19724,1,6079,06/27/2015 00:25:51,07/01/2015 16:39:48
26313,3,1278,07/04/2015 11:38:13,07/15/2015 19:25:12
35602,2,7081,07/02/2015 16:56:20,07/10/2015 12:20:32
38841,4,635,07/08/2015 07:55:14,07/16/2015 11:41:56
33343,5,3904,07/09/2015 00:25:33,07/19/2015 11:11:44
2779,1,2775,05/05/2015 11:10:01,05/17/2015 17:17:13
11788,2,7763,05/13/2015 17:31:48,05/16/2015 18:26:35
27227,6,1371,07/06/2015 16:49:51,07/18/2015 02:01:22
4512,3,1614,06/29/2015 09:21:13,07/09/2015 15:11:25
38995,2,62,07/09/2015 00:50:51,07/23/2015 18:44:17
19240,3,3575,07/08/2015 01:21:09,07/12/2015 16:10:14
26855,4,3386,07/07/2015 15:45:44,07/10/2015 03:23:20
21185,2,491,05/21/2015 10:48:26,05/31/2015 12:33:52
34682,3,3506,07/03/2015 18:34:15,07/09/2015 08:24:08
10080,2,426,07/07/2015 11:44:14,07/11/2015 22:38:10
1676,5,4994,07/08/2015 12:22:34,07/17/2015 20:40:24
38862,5,3756,07/08/2015 13:53:44,07/10/2015 12:20:30
11400,3,434,07/08/2015 21:10:37,07/09/2015 15:08:04
36013,1,8937,06/19/2015 20:15:02,06/28/2015 20:34:45
36776,4,2360,07/09/2015 00:46:55,07/20/2015 03:26:57
37444,2,4002,06/12/2015 18:26:47,06/24/2015 10:14:18
204,11,1205,07/09/2015 01:00:58,07/18/2015 01:26:09
36063,6,2329,07/08/2015 14:08:19,07/15/2015 00:06:35
15545,2,8892,05/08/2015 03:38:51,05/20/2015 14:20:59
32885,3,3274,06/28/2015 05:09:17,07/07/2015 15:33:57
9167,1,34,04/30/2015 03:59:58,05/10/2015 16:58:32
22618,1,6047,02/08/2015 10:20:33,02/10/2015 03:21:27
28725,4,4619,07/07/2015 16:53:07,07/10/2015 05:03:00
36580,1,7325,05/08/2015 03:11:51,05/09/2015 11:14:07
9466,3,67,06/26/2015 03:03:10,07/05/2015 07:11:09
2734,1,434,07/08/2015 14:07:28,07/20/2015 06:25:55
11442,3,7202,07/01/2015 16:54:40,07/07/2015 23:08:31
28747,6,445,07/08/2015 23:48:26,07/11/2015 23:25:12
30351,1,3147,06/05/2015 16:30:19,06/13/2015 04:14:42
4425,2,7887,04/29/2015 03:46:15,04/30/2015 02:24:50
25280,3,7165,07/08/2015 21:09:18,07/21/2015 10:53:46
31084,2,7285,07/07/2015 23:11:25,07/10/2015 01:35:30
24090,8,4811,07/08/2015 17:57:13,07/18/2015 14:09:00
16172,1,7864,02/17/2015 05:20:49,02/28/2015 22:33:20
27953,5,6990,07/07/2015 16:06:05,07/18/2015 22:05:10
28704,8,6224,07/08/2015 23:22:00,07/19/2015 02:37:00
33850,5,8451,07/07/2015 04:14:54,07/18/2015 09:54:15
37679,1,8735,05/07/2015 11:18:09,05/12/2015 10:06:05
14898,1,6339,03/13/2015 02:12:00,03/23/2015 18:13:45
3163,4,2585,07/01/2015 15:53:46,07/10/2015 10:05:11
26357,2,1092,06/01/2015 15:58:49,06/14/2015 12:42:32
11117,2,5188,06/09/2015 02:33:54,06/14/2015 09:24:14
7086,2,6440,05/05/2015 13:09:20,05/15/2015 11:05:18
27329,3,7840,07/06/2015 08:46:47,07/19/2015 08:27:02
33218,2,3424,07/07/2015 20:12:04,07/18/2015 01:56:39
15389,1,6514,05/18/2015 01:21:44,05/31/2015 17:54:21
21643,4,8453,07/08/2015 04:03:54,07/16/2015 23:33:39
7973,1,8691,06/29/2015 05:21:48,06/29/2015 21:17:49
21065,6,2295,06/28/2015 08:59:00,07/05/2015 11:48:21
31004,2,7858,06/12/2015 10:00:21,06/20/2015 13:06:41
17705,2,4217,06/16/2015 07:25:32,06/27/2015 19:18:18
6543,4,7694,07/08/2015 13:02:49,07/10/2015 12:08:33
32145,5,3926,07/09/2015 00:58:12,07/23/2015 17:52:44
19310,3,6235,07/01/2015 11:13:32,07/06/2015 21:43:42
35670,5,515,07/08/2015 06:29:21,07/21/2015 06:51:26
37164,1,2069,02/15/2015 08:32:02,02/18/2015 15:36:34
29823,2,2536,07/09/2015 00:27:54,07/13/2015 09:04:46
11622,1,8497,07/08/2015 16:20:28,07/10/2015 20:17:03
37599,3,4508,06/17/2015 05:24:13,06/25/2015 11:41:25
7229,10,1205,07/09/2015 01:00:56,07/19/2015 03:21:15
17611,3,6224,06/30/2015 19:51:58,07/13/2015 11:10:04
28626,4,5512,07/06/2015 22:59:35,07/19/2015 07:28:58
19674,8,8476,07/08/2015 15:27:56,07/10/2015 19:12:10
9354,3,308,06/26/2015 05:24:25,07/02/2015 10:47:31
4004,5,2878,07/08/2015 22:33:05,07/10/2015 14:16:56
25420,2,4661,07/07/2015 19:20:52,07/11/2015 08:53:37
13583,3,3964,07/07/2015 11:50:00,07/14/2015 15:48:12
5522,2,2216,07/01/2015 05:19:42,07/08/2015 16:35:10
16862,1,6224,04/13/2015 06:34:58,04/25/2015 07:57:35
34627,3,1773,06/19/2015 10:31:48,06/22/2015 01:28:36
32415,3,2544,07/08/2015 10:52:05,07/14/2015 22:32:57
4024,3,9587,07/09/2015 01:00:34,07/09/2015 07:11:32
25034,2,6139,07/04/2015 05:00:39,07/10/2015 18:18:19
33127,5,8388,07/07/2015 18:59:01,07/12/2015 09:12:16
2332,5,6789,07/08/2015 05:12:48,07/13/2015 11:55:21
8582,2,7550,07/08/2015 20:48:11,07/12/2015 23:55:08
22068,5,7687,07/07/2015 14:18:25,07/12/2015 17:02:39
3995,3,9633,06/29/2015 02:46:27,07/03/2015 12:50:28
9337,2,3911,07/06/2015 11:10:38,07/17/2015 12:39:23
27828,2,1018,07/08/2015 20:45:23,07/14/2015 10:36:36
33839,1,5451,06/10/2015 04:56:37,06/18/2015 20:29:38
29934,4,2637,07/02/2015 14:32:24,07/15/2015 07:55:46
13369,1,1280,04/08/2015 12:27:51,04/18/2015 09:49:04
7537,3,4045,07/08/2015 16:24:59,07/09/2015 10:27:07
25512,2,6160,04/05/2015 03:05:33,04/08/2015 05:32:01
14151,6,7326,07/05/2015 02:26:54,07/15/2015 00:58:45
33592,6,6639,07/08/2015 22:52:15,07/10/2015 14:12:55
10176,4,1258,07/09/2015 00:57:10,07/09/2015 19:09:34
28877,1,5233,05/05/2015 23:16:27,05/14/2015 17:00:42
6773,2,7343,04/14/2015 00:18:49,04/25/2015 00:32:02
31480,5,8691,07/08/2015 14:30:30,07/10/2015 05:26:14
13436,1,8251,06/26/2015 08:31:41,06/28/2015 03:15:15
36160,5,1440,07/02/2015 05:06:55,07/15/2015 18:31:04
33385,4,5949,07/08/2015 06:23:19,07/18/2015 16:29:17
27958,4,6818,06/24/2015 16:24:18,07/01/2015 22:21:48
29835,4,9251,07/08/2015 23:38:31,07/11/2015 14:05:11
15195,3,8138,07/04/2015 09:47:58,07/11/2015 20:34:49
35103,5,1424,07/09/2015 01:00:38,07/19/2015 13:51:14
10945,5,7682,07/09/2015 00:59:48,07/13/2015 18:18:23
7761,1,9061,06/25/2015 21:37:37,07/06/2015 12:30:45
13702,2,8792,06/25/2015 21:50:16,06/26/2015 02:40:25
39928,3,8174,06/26/2015 08:05:45,06/27/2015 02:21:09
4553,5,4272,07/07/2015 02:50:28,07/12/2015 14:19:34
39079,2,5919,07/06/2015 09:18:52,07/06/2015 13:31:49
23543,1,4143,04/08/2015 02:55:14,04/16/2015 20:08:55
28257,4,7778,07/08/2015 22:45:06,07/22/2015 09:35:24
24395,3,2453,07/08/2015 14:48:03,07/11/2015 18:02:29
35814,3,546,05/10/2015 03:43:04,05/12/2015 04:11:20
39765,1,3481,04/11/2015 18:36:46,04/21/2015 06:35:18
36929,2,3209,06/14/2015 16:37:18,06/22/2015 16:39:07
6261,2,4508,06/17/2015 00:14:47,06/23/2015 01:32:25
6378,4,5408,07/06/2015 15:32:52,07/08/2015 03:33:43
5662,2,2815,07/02/2015 02:31:08,07/04/2015 23:42:12
29572,6,4045,07/09/2015 00:15:54,07/16/2015 05:53:56
1889,1,9927,07/07/2015 17:44:25,07/08/2015 20:00:31
8918,2,3766,07/07/2015 13:24:01,07/16/2015 15:56:45
21769,6,4106,07/08/2015 01:33:54,07/09/2015 00:49:56
4721,3,1724,07/04/2015 06:29:33,07/16/2015 22:46:51
4362,3,9883,07/05/2015 09:21:31,07/05/2015 20:34:05
26688,5,7721,07/08/2015 06:43:44,07/22/2015 07:50:20
15219,4,5111,07/07/2015 03:38:29,07/21/2015 19:07:50
2554,1,9883,07/03/2015 05:56:36,07/07/2015 10:32:48
15608,4,3191,07/03/2015 09:43:57,07/18/2015 05:39:55
15729,1,2506,06/07/2015 14:48:54,06/10/2015 14:10:57
39055,8,2202,07/09/2015 00:47:04,07/16/2015 18:38:41
11351,7,1205,07/09/2015 00:57:12,07/21/2015 06:00:31
21548,3,6277,07/08/2015 04:04:13,07/14/2015 10:54:10
11888,2,9451,03/19/2015 01:51:22,03/22/2015 02:50:07
27009,1,1278,06/20/2015 14:03:43,06/23/2015 02:39:23
27627,3,6093,07/07/2015 17:07:05,07/19/2015 13:30:33
15130,3,4079,07/06/2015 20:52:23,07/18/2015 06:04:18
25858,2,5737,07/08/2015 08:20:57,07/10/2015 21:26:43
2252,1,5934,05/08/2015 06:24:27,05/18/2015 04:30:56
22422,3,4619,07/07/2015 03:10:13,07/21/2015 09:26:13
2570,2,9968,06/29/2015 09:46:07,07/12/2015 07:22:25
36365,1,2598,07/07/2015 21:28:35,07/20/2015 05:27:13
7652,2,8378,07/03/2015 06:20:35,07/14/2015 17:32:59
8503,2,2986,04/23/2015 15:20:36,05/04/2015 03:44:20
23701,1,7254,06/09/2015 17:45:58,06/10/2015 08:51:39
36652,3,5512,06/22/2015 05:39:01,07/01/2015 05:26:09
3643,7,6224,07/08/2015 22:29:39,07/09/2015 10:29:51
23938,5,7831,07/04/2015 06:11:57,07/13/2015 09:45:57
6638,5,2761,07/06/2015 06:43:27,07/17/2015 06:13:40
32831,2,9112,07/07/2015 20:35:38,07/19/2015 08:55:38
33,4,2545,07/08/2015 20:58:27,07/21/2015 04:47:06
11123,2,6455,07/03/2015 02:27:58,07/11/2015 23:06:48
5687,4,2717,07/08/2015 01:01:48,07/12/2015 19:49:28
30093,4,5535,07/07/2015 05:42:33,07/21/2015 06:19:14
7019,4,1993,07/08/2015 12:34:24,07/23/2015 08:35:31
11528,1,5362,07/05/2015 10:00:35,07/15/2015 02:14:43
28350,6,4397,07/08/2015 17:15:06,07/11/2015 05:16:35
4388,2,6973,07/07/2015 04:13:04,07/18/2015 04:55:20
27382,5,8318,07/09/2015 00:48:11,07/10/2015 22:28:04
20630,6,5503,07/07/2015 21:13:50,07/21/2015 03:03:15
5829,2,9646,07/08/2015 12:46:38,07/11/2015 16:01:21
18118,1,8584,05/12/2015 23:23:49,05/24/2015 10:17:04
36576,2,9130,03/09/2015 00:27:45,03/10/2015 10:07:00
8641,1,1102,07/05/2015 01:04:00,07/07/2015 08:11:48
19371,3,9400,07/06/2015 21:33:48,07/15/2015 14:18:48
4813,4,1034,07/04/2015 02:55:53,07/09/2015 15:38:37
12742,2,4280,07/07/2015 22:23:51,07/19/2015 10:23:05
699,4,1055,07/05/2015 22:57:54,07/06/2015 12:19:10
32135,1,4115,06/02/2015 23:44:58,06/14/2015 14:50:30
7711,5,546,05/30/2015 01:06:57,06/08/2015 20:19:15
37486,1,9828,05/04/2015 18:54:58,05/17/2015 09:26:33
15382,6,9828,07/06/2015 19:26:13,07/15/2015 11:25:34
31512,3,3828,06/17/2015 16:26:57,06/30/2015 20:21:22
38788,3,1545,07/05/2015 11:41:06,07/20/2015 00:49:32
23931,3,7364,06/24/2015 00:23:50,07/07/2015 01:52:09
10969,1,3612,06/10/2015 05:49:01,06/13/2015 16:57:38
11039,2,3296,04/13/2015 03:07:43,04/16/2015 14:53:18
12673,4,5885,07/09/2015 00:48:36,07/21/2015 02:03:59
22642,4,6224,07/08/2015 07:26:12,07/21/2015 09:44:29
37622,5,5604,07/09/2015 00:58:32,07/16/2015 15:42:28
37963,6,4571,07/08/2015 23:31:17,07/23/2015 03:11:13
9007,2,8518,07/05/2015 02:44:19,07/09/2015 15:04:33
11776,2,3452,07/07/2015 06:49:37,07/19/2015 17:13:51
36480,3,8429,01/21/2015 02:13:37,02/04/2015 19:19:56
26186,8,3585,07/08/2015 20:28:32,07/14/2015 21:48:59
25476,2,6639,05/23/2015 17:19:30,05/24/2015 00:22:32
32391,4,963,06/09/2015 19:34:53,06/14/2015 15:38:20
6206,2,432,06/17/2015 23:47:21,06/28/2015 13:11:58
14585,3,611,07/08/2015 20:31:16,07/09/2015 12:00:28
7339,4,1780,07/07/2015 01:43:58,07/21/2015 18:29:55
24881,3,3189,07/08/2015 15:37:52,07/17/2015 12:36:12
36362,3,1780,07/04/2015 10:53:20,07/04/2015 11:47:33
15262,4,238,07/06/2015 08:51:22,07/12/2015 18:47:21
19117,3,6171,06/12/2015 19:30:09,06/16/2015 13:23:54
7257,1,7488,06/16/2015 15:12:23,06/30/2015 22:50:53
21107,2,563,06/18/2015 11:02:44,06/22/2015 00:42:33
9283,8,1424,07/09/2015 01:00:59,07/23/2015 02:52:58
13824,4,7338,07/05/2015 21:29:49,07/08/2015 12:48:57
11975,5,8650,07/08/2015 10:32:27,07/16/2015 12:24:38
504,5,6041,07/08/2015 13:08:51,07/09/2015 12:36:09
13544,2,7222,07/08/2015 19:09:20,07/19/2015 21:21:37
8652,3,6534,07/08/2015 09:28:33,07/13/2015 22:25:54
2880,4,1315,07/08/2015 21:30:56,07/22/2015 22:05:26
5659,2,6844,04/17/2015 05:08:40,04/22/2015 22:13:23
38883,2,6739,07/07/2015 20:14:02,07/13/2015 20:09:07
13499,3,5849,07/02/2015 11:00:18,07/14/2015 15:53:34
2818,1,9922,03/07/2015 22:42:17,03/15/2015 10:56:54
28000,2,4075,07/08/2015 10:04:04,07/08/2015 10:44:37
30571,1,6685,04/21/2015 08:28:59,04/21/2015 16:40:46
17900,1,7338,05/16/2015 21:05:22,05/28/2015 13:58:19
21304,3,6139,07/07/2015 03:49:44,07/08/2015 05:48:14
16689,3,2638,07/06/2015 01:35:40,07/06/2015 19:38:50
21539,2,8034,04/11/2015 02:36:39,04/11/2015 19:56:36
3570,2,4147,06/06/2015 08:45:13,06/10/2015 19:20:20
32671,2,5939,07/01/2015 12:10:02,07/07/2015 05:21:48
38011,2,3196,04/12/2015 16:51:51,04/14/2015 12:55:00
39763,2,7595,06/19/2015 12:16:57,06/20/2015 05:01:34
33989,2,7778,07/06/2015 14:08:04,07/09/2015 07:03:31
12546,1,8797,04/26/2015 04:48:40,04/29/2015 04:40:17
3138,3,9846,05/20/2015 03:40:35,05/28/2015 14:28:16
16128,2,7111,04/28/2015 10:03:13,05/12/2015 22:42:29
13214,6,1205,07/08/2015 23:11:52,07/22/2015 05:36:41
15914,2,5967,06/13/2015 14:43:43,06/20/2015 05:39:58
26902,3,7650,07/02/2015 00:25:24,07/07/2015 05:50:59
10596,3,6049,07/01/2015 22:41:08,07/12/2015 03:03:26
30660,3,1149,07/01/2015 04:45:04,07/14/2015 02:22:41
29429,2,780,06/29/2015 05:32:32,07/14/2015 04:01:22
12036,2,5408,05/17/2015 05:40:20,05/18/2015 20:38:10
27843,2,8584,06/02/2015 11:20:25,06/14/2015 03:38:58
3448,3,7811,06/19/2015 20:19:01,06/29/2015 17:04:25
33806,8,34,07/09/2015 00:58:48,07/12/2015 16:39:43
3128,1,8801,12/02/2014 22:46:55,12/05/2014 23:21:58
9119,2,4534,07/09/2015 00:26:49,07/22/2015 23:26:13
22563,4,4157,07/08/2015 18:19:16,07/11/2015 22:43:46
10696,6,6258,07/09/2015 00:28:31,07/09/2015 13:17:56
15286,6,2399,07/09/2015 01:00:30,07/18/2015 15:22:09
37497,4,1424,07/09/2015 01:00:18,07/15/2015 10:03:01
15854,4,5548,07/08/2015 16:09:43,07/16/2015 18:05:35
9537,4,273,07/05/2015 20:21:02,07/18/2015 04:17:13
6934,1,1197,05/28/2015 13:51:12,06/04/2015 11:41:01
33224,3,4744,05/17/2015 05:45:12,05/29/2015 23:56:22
5736,3,7179,07/09/2015 00:27:28,07/09/2015 18:32:10
13425,2,4571,07/03/2015 23:41:08,07/10/2015 20:43:22
